year,gross,popularity,imdb_score,vote_average,genre
1973,115000000,19.3,7.5,6.9,Music
1977,85911262,35.9,5.2,7.8,Music
1978,64893984,24.5,6.9,7.0,Music
1979,76657000,10.6,7.7,7.0,Music
1980,45366666,18.4,6.6,6.5,Music
1981,6144806,8.0,6.7,6.6,Music
1982,69700000,4.2,5.8,5.9,Music
1983,62650000,10.9,6.4,6.2,Music
1984,59375000,22.6,7.0,6.8,Music
1985,33000000,4.9,6.9,6.4,Music
1986,29210404,12.2,6.4,6.2,Music
1987,34295298,4.6,5.5,5.5,Music
1988,14545844,3.2,5.8,6.2,Music
1990,47101942,4.6,6.3,6.1,Music
1991,27232513,7.2,6.2,5.7,Music
1992,122068699,39.1,7.2,6.8,Music
1993,26483172,8.6,6.4,6.5,Music
1994,422783777,90.5,8.5,8.0,Music
1995,112064048,27.3,7.0,6.8,Music
1996,45204871,15.5,6.8,6.2,Music
1997,36374286,16.2,6.4,6.6,Music
1998,37152089,19.4,6.7,6.5,Music
1999,21573367,9.4,6.8,6.4,Music
2000,26671919,16.4,6.9,6.8,Music
2001,24094383,10.7,6.1,5.8,Music
2002,42773993,9.4,6.3,6.4,Music
2003,26458610,10.3,5.6,5.0,Music
2004,22759972,9.7,6.8,6.5,Music
2005,19540497,8.7,6.5,6.2,Music
2006,34322886,11.4,6.1,6.0,Music
2007,52569286,18.0,6.7,6.5,Music
2008,72927631,11.9,6.7,6.6,Music
2009,53597905,13.7,6.2,6.0,Music
2010,38936955,15.0,6.1,6.1,Music
2011,72728722,15.9,6.0,6.3,Music
2012,102121184,17.6,6.4,5.8,Music
2013,61564231,21.7,6.4,6.6,Music
2014,47084066,41.0,6.6,6.6,Music
2015,74802273,39.0,6.4,6.6,Music
2016,146881450,3.0,6.7,5.8,Music
1929,2808000,1.0,6.3,5.0,Musical
1933,2300000,1.9,7.7,6.1,Musical
1935,3000000,3.9,7.8,7.4,Musical
1937,184925485,80.2,7.7,6.9,Musical
1939,22202612,67.4,8.1,7.4,Musical
1940,84300000,46.0,7.5,6.9,Musical
1948,2956000,0.9,7.1,6.6,Musical
1950,85911262,1.7,5.2,7.3,Musical
1961,43650000,23.4,7.6,7.0,Musical
1964,58271668,30.5,7.8,7.4,Musical
1965,163214286,38.0,8.0,7.4,Musical
1970,5000000,0.8,6.2,4.9,Musical
1971,50000000,7.6,8.0,7.4,Musical
1977,85911262,35.9,5.2,7.8,Musical
1978,97180000,35.2,6.2,6.6,Musical
1979,76657000,10.6,7.7,7.0,Musical
1980,40950000,5.2,6.0,6.1,Musical
1981,6144806,8.0,6.7,6.6,Musical
1982,69700000,4.2,5.8,5.9,Musical
1983,30400000,3.4,6.6,6.2,Musical
1986,29210404,12.2,6.4,6.2,Musical
1988,14545844,3.2,5.8,6.2,Musical
1991,35183792,10.8,7.2,6.7,Musical
1992,122315863,54.0,7.8,7.3,Musical
1993,190562,0.1,4.4,5.6,Musical
1994,422783777,90.5,8.5,8.0,Musical
1995,141600000,47.8,6.6,6.7,Musical
1996,61031722,18.2,6.9,6.0,Musical
1997,30930289,24.8,7.0,7.2,Musical
1998,81518020,37.7,6.9,7.1,Musical
1999,23281501,13.0,7.0,6.7,Musical
2000,22261690,16.0,6.5,6.9,Musical
2001,21236236,21.6,6.9,6.7,Musical
2002,43272187,9.9,6.4,6.3,Musical
2003,11167542,4.1,4.5,3.9,Musical
2004,30632706,9.7,6.8,6.4,Musical
2005,20486665,13.0,6.1,5.7,Musical
2006,54091910,15.0,5.9,5.9,Musical
2007,73804328,21.0,7.2,6.8,Musical
2008,158784363,15.8,6.3,6.5,Musical
2009,63458854,16.1,6.3,5.7,Musical
2010,65113286,20.4,5.8,5.9,Musical
2011,82283037,27.5,6.9,6.6,Musical
2012,147271419,18.3,7.0,4.9,Musical
2013,117268072,30.3,6.3,6.4,Musical
2014,78523369,32.3,6.1,6.0,Musical
2016,219886386,3.7,6.2,6.0,Musical
1947,7927,8.1,7.7,7.2,Mystery
1960,32000000,93.1,8.5,8.2,Mystery
1964,73548,4.5,6.1,7.2,Mystery
1966,13782838,8.9,8.2,6.1,Mystery
1968,56715371,86.2,8.3,7.9,Mystery
1973,41814863,47.6,5.1,7.5,Mystery
1975,82226474,6.5,5.6,6.7,Mystery
1980,31899000,11.2,7.1,6.8,Mystery
1981,800000,0.3,5.2,6.0,Mystery
1985,104760758,11.6,7.8,7.0,Mystery
1986,33378357,10.2,5.9,5.8,Mystery
1987,103001286,1.2,7.2,6.8,Mystery
1988,7199380,15.6,5.8,6.7,Mystery
1989,36177175,13.5,7.5,7.2,Mystery
1990,21413502,2.8,6.3,6.2,Mystery
1991,502028,9.7,8.0,5.1,Mystery
1992,29495404,11.4,7.8,7.2,Mystery
1993,110873561,26.0,7.3,6.5,Mystery
1994,31227024,13.1,6.0,5.8,Mystery
1995,48572622,32.1,7.0,6.5,Mystery
1996,46754746,17.0,6.3,6.2,Mystery
1997,43412806,23.9,6.9,6.8,Mystery
1998,38425399,18.6,6.6,6.1,Mystery
1999,55996385,22.8,6.4,6.3,Mystery
2000,43468130,16.4,6.4,5.8,Mystery
2001,33404288,12.4,6.4,6.2,Mystery
2002,53996466,27.9,6.4,5.9,Mystery
2003,49866660,17.4,6.5,6.3,Mystery
2004,66692871,28.7,6.3,6.2,Mystery
2005,49400367,21.7,6.5,6.2,Mystery
2006,40343449,23.3,6.6,6.3,Mystery
2007,55535111,25.5,6.9,6.6,Mystery
2008,42352728,19.4,6.2,6.0,Mystery
2009,48107398,26.4,6.2,5.9,Mystery
2010,37512350,24.9,6.4,6.5,Mystery
2011,51565055,32.2,6.5,6.3,Mystery
2012,48071091,29.7,6.5,5.9,Mystery
2013,50455541,37.1,6.7,6.3,Mystery
2014,53336897,44.1,6.3,5.2,Mystery
2015,30022550,45.1,6.3,5.8,Mystery
2016,36725117,35.1,6.6,6.2,Mystery
2009,14359793,10.5,7.4,7.0,News
1925,114968774,0.8,7.3,7.0,Romance
1929,1408975,1.4,7.2,6.3,Romance
1933,2300000,1.9,7.7,6.1,Romance
1935,3000000,3.9,7.8,7.4,Romance
1938,34293771,0.5,5.5,4.8,Romance
1939,198655278,49.0,8.2,7.7,Romance
1946,22025000,8.0,7.5,6.9,Romance
1948,2956000,0.9,7.1,6.6,Romance
1952,528972,9.0,7.8,6.6,Romance
1954,9600000,16.0,8.2,8.0,Romance
1959,25000000,39.3,8.3,8.0,Romance
1961,43650000,23.4,7.6,7.0,Romance
1963,57750000,13.2,7.0,6.7,Romance
1964,77953057,10.9,7.0,7.2,Romance
1965,137468143,25.4,8.0,7.4,Romance
1966,23091,88.4,6.2,8.1,Romance
1969,12791479,14.5,7.6,6.6,Romance
1970,2507796,1.1,6.0,5.4,Romance
1971,50000000,7.6,8.0,7.4,Romance
1973,32645,17.0,7.4,7.2,Romance
1974,39552600,2.7,6.1,6.1,Romance
1977,47562713,5.0,6.6,6.2,Romance
1978,181360000,67.6,7.2,7.2,Romance
1980,206899293,16.5,6.8,6.1,Romance
1981,41523271,14.8,6.6,6.6,Romance
1982,100815136,36.8,6.2,7.4,Romance
1983,117904828,13.0,6.1,5.9,Romance
1984,60392245,16.3,6.1,6.2,Romance
1985,87100000,13.9,7.2,7.0,Romance
1986,36752030,16.5,5.5,5.7,Romance
1987,64981201,18.7,7.1,6.0,Romance
1988,24011803,11.2,6.7,6.3,Romance
1989,37916056,9.9,7.2,7.0,Romance
1990,63168709,19.4,7.0,6.7,Romance
1991,37884558,7.2,6.3,5.5,Romance
1992,68654208,24.2,6.8,6.5,Romance
1993,40433893,19.0,7.3,7.0,Romance
1994,28656707,14.0,6.3,6.0,Romance
1995,35043725,15.3,6.6,6.4,Romance
1996,40484011,13.5,6.4,6.0,Romance
1997,114606209,21.3,6.6,6.4,Romance
1998,62008043,15.4,6.5,6.0,Romance
1999,42186281,10.3,6.4,6.2,Romance
2000,44029462,14.6,6.3,6.0,Romance
2001,42615932,13.9,6.1,5.9,Romance
2002,57337746,14.1,6.3,6.1,Romance
2003,34499090,12.3,6.1,6.0,Romance
2004,45012833,15.9,6.4,6.1,Romance
2005,55366089,17.2,6.5,6.2,Romance
2006,29762439,14.3,6.4,6.1,Romance
2007,45458615,17.9,6.4,6.2,Romance
2008,49719061,22.9,6.4,6.2,Romance
2009,41322120,18.2,6.3,6.1,Romance
2010,44646862,22.9,6.2,6.2,Romance
2011,47303217,24.1,6.5,6.3,Romance
2012,42599774,25.0,6.4,6.1,Romance
2013,28102687,24.9,6.8,6.1,Romance
2014,39597394,36.1,6.6,6.3,Romance
2015,61003900,42.7,6.5,6.3,Romance
2016,79554378,64.5,6.8,5.7,Romance
1927,26435,32.4,8.3,8.0,Sci-Fi
1953,5000000,2.0,6.7,6.7,Sci-Fi
1966,172015950,9.4,7.6,6.1,Sci-Fi
1968,47134651,67.8,7.5,8.0,Sci-Fi
1969,25556065,25.3,8.0,6.5,Sci-Fi
1970,180011740,24.4,5.7,6.2,Sci-Fi
1971,180011740,18.3,5.7,6.3,Sci-Fi
1972,180011740,18.8,5.7,6.1,Sci-Fi
1973,180011740,13.3,5.7,5.5,Sci-Fi
1975,39985328,67.0,6.2,7.0,Sci-Fi
1976,25000000,12.3,6.8,6.6,Sci-Fi
1977,87550000,39.8,7.4,6.9,Sci-Fi
1978,139692687,17.9,7.8,5.8,Sci-Fi
1979,138578670,45.5,7.0,6.6,Sci-Fi
1980,153976900,38.3,7.6,7.3,Sci-Fi
1981,17593391,6.8,6.0,6.4,Sci-Fi
1982,174714135,21.5,5.8,6.0,Sci-Fi
1983,174303809,30.6,7.6,6.7,Sci-Fi
1984,73847491,35.7,6.3,6.8,Sci-Fi
1985,64214500,58.8,7.9,7.8,Sci-Fi
1986,76184826,22.5,6.0,6.4,Sci-Fi
1987,72685175,34.3,6.6,6.1,Sci-Fi
1988,61015931,18.6,6.9,6.6,Sci-Fi
1989,110876179,22.3,7.2,6.6,Sci-Fi
1990,98271956,22.5,6.8,6.6,Sci-Fi
1991,169031850,30.1,6.4,6.1,Sci-Fi
1992,91262873,44.4,6.2,6.0,Sci-Fi
1993,128944495,15.4,5.8,5.1,Sci-Fi
1994,87803799,16.3,5.4,5.4,Sci-Fi
1995,93715439,13.4,5.6,5.8,Sci-Fi
1996,105558943,23.0,6.2,5.7,Sci-Fi
1997,91640164,33.2,6.5,6.1,Sci-Fi
1998,100647376,18.4,6.7,6.1,Sci-Fi
1999,58284474,22.6,5.6,5.7,Sci-Fi
2000,51876772,14.0,6.0,5.7,Sci-Fi
2001,54277386,20.4,6.1,5.8,Sci-Fi
2002,104270422,28.7,6.3,5.9,Sci-Fi
2003,68939849,30.8,5.9,5.7,Sci-Fi
2004,73204004,26.4,6.2,6.0,Sci-Fi
2005,74885334,28.9,6.2,5.8,Sci-Fi
2006,50307625,18.7,6.5,6.1,Sci-Fi
2007,138398205,28.3,6.5,5.7,Sci-Fi
2008,71491508,25.0,6.4,6.0,Sci-Fi
2009,115388363,38.7,6.5,6.1,Sci-Fi
2010,105127143,44.0,6.7,6.3,Sci-Fi
2011,96466318,33.2,6.3,6.0,Sci-Fi
2012,107894040,47.7,6.7,6.2,Sci-Fi
2013,135831005,48.3,6.6,6.1,Sci-Fi
2014,135389056,104.5,6.7,6.4,Sci-Fi
2015,129533531,115.5,6.6,6.1,Sci-Fi
2016,128718113,88.2,6.5,6.0,Sci-Fi
2008,7518876,0.0,6.5,8.0,Short
1980,19922625,25.7,7.8,7.2,Sport
1981,40546177,19.5,6.9,6.9,Sport
1986,52293982,17.3,7.0,6.7,Sport
1987,52277485,7.6,6.9,7.0,Sport
1988,32041802,11.0,6.8,6.6,Sport
1989,56277657,10.0,6.7,6.6,Sport
1990,82670733,16.3,5.9,5.9,Sport
1992,70162869,11.4,6.8,6.6,Sport
1993,35853263,15.2,6.6,6.4,Sport
1994,25879976,29.4,7.2,7.2,Sport
1996,63343502,20.4,6.6,6.3,Sport
1997,12581053,10.0,5.9,6.0,Sport
1998,58642899,10.9,6.6,6.5,Sport
1999,33074707,11.0,6.8,6.6,Sport
2000,40221795,9.8,6.8,6.4,Sport
2001,45616091,8.7,6.4,6.0,Sport
2002,32930269,9.1,5.4,5.3,Sport
2003,73243336,10.6,7.6,7.0,Sport
2004,37944482,18.4,6.8,6.3,Sport
2005,36952778,10.4,6.3,6.1,Sport
2006,62770479,15.2,6.3,6.2,Sport
2007,24090038,11.5,6.0,5.8,Sport
2008,25714793,15.5,6.0,6.0,Sport
2009,54022489,15.5,7.3,6.6,Sport
2010,27118378,8.3,6.2,6.3,Sport
2011,62884970,23.5,6.6,6.0,Sport
2012,21197709,15.8,7.1,6.4,Sport
2013,60132523,24.7,6.8,6.4,Sport
2014,74121766,29.4,7.0,6.9,Sport
2015,44447058,37.8,7.0,6.6,Sport
2016,15785632,29.4,7.5,7.2,Sport
1947,7927,8.1,7.7,7.2,Thriller
1948,90356857,5.3,7.1,7.3,Thriller
1960,32000000,93.1,8.5,8.2,Thriller
1961,43650000,23.4,7.6,7.0,Thriller
1962,16067035,48.9,7.3,6.9,Thriller
1963,24800000,41.3,7.5,6.9,Thriller
1964,51100000,47.8,7.8,7.2,Thriller
1965,63600000,31.0,7.0,6.5,Thriller
1967,43100000,28.7,6.9,6.5,Thriller
1968,37553932,49.3,6.7,8.1,Thriller
1970,180011740,24.4,5.7,6.2,Thriller
1971,104750870,17.8,5.9,5.9,Thriller
1972,164864108,17.0,6.0,6.3,Thriller
1973,87454197,24.3,6.1,6.4,Thriller
1974,30859000,29.3,7.5,7.2,Thriller
1975,33577889,61.4,5.0,7.2,Thriller
1977,47128225,14.9,7.1,6.2,Thriller
1978,60980594,27.6,7.4,7.0,Thriller
1979,92920758,41.1,6.7,6.8,Thriller
1980,34726466,8.6,6.9,7.0,Thriller
1981,19133283,13.6,6.7,6.4,Thriller
1982,46925000,11.2,7.4,5.1,Thriller
1983,66995000,20.2,6.5,6.1,Thriller
1984,31754644,30.2,6.1,7.0,Thriller
1985,87544593,15.8,7.2,6.2,Thriller
1986,8254922,13.2,5.8,5.9,Thriller
1987,63179778,19.1,5.9,5.8,Thriller
1988,41301388,17.4,6.7,6.3,Thriller
1989,43665882,13.9,7.0,6.0,Thriller
1990,105937565,32.3,6.8,6.5,Thriller
1991,38799016,14.6,6.7,6.2,Thriller
1992,50059704,23.7,6.7,6.4,Thriller
1993,70539037,17.5,6.8,6.3,Thriller
1994,48987297,14.0,6.0,5.8,Thriller
1995,55797550,23.3,6.7,6.2,Thriller
1996,50976051,15.3,6.3,5.9,Thriller
1997,60056112,21.3,6.5,6.2,Thriller
1998,53422923,18.8,6.4,6.2,Thriller
1999,44915687,15.3,6.4,6.2,Thriller
2000,52865673,15.9,6.2,5.9,Thriller
2001,51355077,17.9,6.3,6.1,Thriller
2002,46925405,19.9,6.4,5.8,Thriller
2003,43813108,19.5,6.4,6.1,Thriller
2004,41258910,27.5,6.4,6.3,Thriller
2005,41280669,19.8,6.4,6.0,Thriller
2006,48604583,23.1,6.6,6.3,Thriller
2007,40047710,20.0,6.5,6.1,Thriller
2008,52109004,23.9,6.4,6.1,Thriller
2009,43681881,23.0,6.3,5.9,Thriller
2010,41090935,28.3,6.3,6.2,Thriller
2011,43302980,27.5,6.4,6.0,Thriller
2012,59475490,33.1,6.4,5.9,Thriller
2013,68687379,36.4,6.4,6.1,Thriller
2014,63339466,47.8,6.4,5.9,Thriller
2015,66428433,58.1,6.4,6.0,Thriller
2016,41804921,37.5,6.6,6.1,Thriller
1938,34293771,0.5,5.5,4.8,War
1939,198655278,49.0,8.2,7.7,War
1946,23650000,8.4,8.1,7.6,War
1952,528972,9.0,7.8,6.6,War
1957,27200000,23.1,8.2,7.7,War
1962,6000000,41.3,8.4,7.8,War
1965,55868436,8.2,7.4,6.8,War
1966,23091,88.4,6.2,8.1,War
1970,9750000,5.3,6.8,5.9,War
1977,25900000,12.0,6.8,6.6,War
1979,78800000,50.0,8.5,8.0,War
1980,69800000,12.2,6.1,6.0,War
1981,11433134,27.0,8.4,7.9,War
1986,137963328,49.8,8.1,7.5,War
1987,23091,18.4,6.2,7.1,War
1988,53715611,31.3,5.7,5.7,War
1989,40081398,15.3,7.4,7.0,War
1991,14587732,6.8,5.7,5.7,War
1992,64199052,41.4,7.0,7.1,War
1993,10769960,5.5,7.7,6.6,War
1994,66528842,27.0,7.5,7.2,War
1995,42869294,22.3,7.6,7.1,War
1996,49533631,16.9,7.0,6.6,War
1997,29262339,29.2,6.6,6.9,War
1998,88287113,39.7,7.3,7.4,War
1999,18137868,13.3,6.9,6.3,War
2000,63648448,15.0,7.2,6.1,War
2001,63436482,24.1,6.9,6.3,War
2002,22672300,15.3,6.9,6.5,War
2003,40564499,18.8,6.8,6.6,War
2004,19536226,17.0,7.0,6.5,War
2005,16950247,12.2,7.0,6.6,War
2006,24958630,21.9,7.1,6.9,War
2007,7911560,12.9,7.0,6.6,War
2008,12342633,16.8,7.0,6.6,War
2009,33423332,21.3,6.7,6.5,War
2010,16981130,16.9,6.6,6.3,War
2011,34343095,19.0,6.8,6.5,War
2012,27509410,11.9,7.0,6.5,War
2013,36812800,28.3,7.3,6.6,War
2014,71737646,38.5,6.7,6.4,War
2015,34502776,18.3,7.4,6.4,War
2016,20568657,27.1,7.2,6.3,War
1946,20400000,7.6,6.9,6.2,Western
1964,3500000,38.8,8.0,7.6,Western
1965,14873,3.5,6.8,6.2,Western
1974,119500000,22.8,7.8,7.2,Western
1980,1500000,5.4,6.8,6.4,Western
1981,89289910,11.7,6.5,3.7,Western
1985,37300000,12.8,7.2,7.0,Western
1988,44726644,9.5,6.8,6.6,Western
1990,97762860,34.3,7.4,7.1,Western
1991,7434726,12.9,6.0,6.1,Western
1992,101157447,37.4,8.3,7.7,Western
1993,56505065,30.5,7.8,7.4,Western
1994,45790421,20.4,7.0,6.8,Western
1995,18636537,16.5,6.4,6.3,Western
1998,59813244,15.7,6.4,6.3,Western
1999,57188093,23.1,5.8,5.8,Western
2000,18316823,9.7,6.4,5.8,Western
2001,6944180,6.2,5.6,5.6,Western
2002,73215310,41.7,7.0,7.4,Western
2003,58328680,19.1,7.5,7.0,Western
2004,37366485,12.7,6.2,6.0,Western
2005,17426795,19.3,6.9,6.7,Western
2007,19515208,29.3,7.0,6.3,Western
2008,46711156,15.5,6.9,5.5,Western
2010,38022667,16.9,6.5,6.0,Western
2011,41599538,11.8,6.6,6.4,Western
2012,84349943,43.9,7.0,6.6,Western
2013,89289910,49.0,6.5,5.9,Western
2014,85749706,26.1,6.4,6.2,Western
2015,79327069,61.4,7.6,7.2,Western
2016,1512815,15.3,5.8,5.4,Western
